,Customer type,MARGIN_PM,MARGIN_AM,QTY_PM,QTY_AM,Other Effect,Price Effect,Volume Effect,Product line Mix Effect,Branch Mix Effect,Gender Mix Effect,Flag,q_totals_pr,q_totals_ac,Customer type Mix Effect
0,Member,2757.849000000001,2395.05,964.0,838,0,-2.3332593361001583,-436.4839893129775,-47.33229958731491,11.251356586675428,-22.416127962748902,0,1965.0,1654,76.01824864907694
1,Normal,2779.8590000000013,2234.4440000000004,1001.0,816,0,-31.65484515484571,-439.9675058524176,3.853470848862827,21.60716782026091,0.311722465393661,0,1965.0,1654,-73.79264899273747
